id,chain,file
Hel-as-1,A,O97192_Hel as 1.pdb
Api-m-1,A,P00630_Api m 1.pdb
Bos-d-4,A,P00711_Bos d 4.pdb
Gal-d-1,A,P01005_Gal d 1.pdb
Gal-d-2,A,P01012_Gal d 2.pdb
Gad-c-1,A,P02622_Gad c 1.pdb
Bos-d-5,A,P02754_Bos d 5.pdb
Rat-n-1,A,P02761_Rat n 1.pdb
Mus-m-1,A,P02762_Mus m 1.pdb
Bos-d-6,A,P02769_Bos d 6.pdb
Gal-d-3,A,P02789_Gal d 3.pdb
Ber-e-1,A,P04403_Ber e 1.pdb
Gly-m-6,A,P04405_Gly m 6.pdb
Der-p-1,A,P08176_Der p 1.pdb
Sus-s-1,A,P08835_Sus s 1.pdb
Cla-h-8,A,P0C0Y5_Cla h 8.pdb
Lol-p-1,A,P14946_Lol p 1.pdb
Bet-v-1,A,P15494_Bet v 1.pdb
Cry-j-1,A,P18632_Cry j 1.pdb
Gal-d-5,A,P19121_Gal d 5.pdb
Zea-m-14,A,P19656_Zea m 14.pdb
Ole-e-1,A,P19963_Ole e 1.pdb
Tri-a-14,A,P24296_Tri a 14.pdb
Bet-v-2,A,P25816_Bet v 2.pdb
Gly-m-5,A,P25974_Gly m 5.pdb
Gly-m-4,A,P26987_Gly m 4.pdb
Amb-a-1,A,P27759_Amb a 1.pdb
Phl-p-12,A,P35079_Phl p 12.pdb
Equ-c-3,A,P35747_Equ c 3.pdb
Aln-g-1,A,P38948_Aln g 1.pdb
Mal-d-1,A,P43211_Mal d 1.pdb
Phl-p-1,A,P43213_Phl p 1.pdb
Phl-p-2,A,P43214_Phl p 2.pdb
Phl-p-6,A,P43215_Phl p 6.pdb
Ara-h-1,A,P43238_Ara h 1.pdb
Der-p-8,A,P46419_Der p 8.pdb
Der-f-8,A,P46436_Der f 8.pdb
Fel-d-2,A,P49064_Fel d 2.pdb
Der-p-2,A,P49278_Der p 2.pdb
Ves-v-1,A,P49369_Ves v 1.pdb
Api-g-1,A,P49372_Api g 1.pdb
Can-f-3,A,P49822_Can f 3.pdb
Bla-g-2,A,P54958_Bla g 2.pdb
Par-j-2,A,P55958_Par j 2.pdb
Asp-f-1,A,P67875_Asp f 1.pdb
Alt-a-1,A,P79085_Alt a 1.pdb
Act-d-2,A,P81370_Act d 2.pdb
Pru-p-3,A,P81402_Pru p 3.pdb
Ole-e-7,A,P81430_Ole e 7.pdb
Pol-d-5,A,P81656_Pol d 5.pdb
Pla-l-1,A,P82242_Pla l 1.pdb
Cav-p-2,A,P83508_Cav p 2.pdb
Act-d-10,A,P86137_Act d 10.pdb
Api-g-6,A,P86809_Api g 6.pdb
Pru-p-7,A,P86888_Pru p 7.pdb
Jug-r-1,A,P93198_Jug r 1.pdb
Der-f-2,A,Q00855_Der f 2.pdb
Ves-v-5,A,Q05110_Ves v 5.pdb
Api-m-2,A,Q08169_Api m 2.pdb
Blo-t-12,A,Q17282_Blo t 12.pdb
Bomb-m-3,A,Q1HPQ0_Bomb m 3.pdb
Der-f-10,A,Q23939_Der f 10.pdb
Met-e-1,A,Q25456_Met e 1.pdb
Bos-d-2,A,Q28133_Bos d 2.pdb
Bomb-m-1,A,Q2F5T5_Bomb m 1.pdb
Pru-p-1,A,Q2I6V8_Pru p 1.pdb
Fag-e-2,A,Q2PS07_Fag e 2.pdb
Jug-r-4,A,Q2TPW5_Jug r 4.pdb
Oct-v-1,A,Q2V0V0_Oct v 1.pdb
Bet-v-4,A,Q39419_Bet v 4.pdb
Pen-a-1,A,Q3Y8M6_Pen a 1.pdb
Tri-a-19,A,Q402I5_Tri a 19.pdb
Phl-p-5,A,Q40960_Phl p 5.pdb
Der-f-1,A,Q58A71_Der f 1.pdb
Api-m-3,A,Q5BLY5_Api m 3.pdb
Mal-d-3,A,Q5J026_Mal d 3.pdb
Fel-d-4,A,Q5VFH6_Fel d 4.pdb
Ara-h-15,A,Q647G3_Ara h 15.pdb
Ara-h-6,A,Q647G9_Ara h 6.pdb
Pla-a-2,A,Q6H9K0_Pla a 2.pdb
Ara-h-2,A,Q6PSU2_Ara h 2.pdb
Pol-d-1,A,Q6Q252_Pol d 1.pdb
Ara-h-8,A,Q6VT83_Ara h 8.pdb
Cav-p-4,A,Q6WDN9_Cav p 4.pdb
Pis-s-1,A,Q702P1_Pis s 1.pdb
Aes-h-1,A,Q7M1F3_Aes h 1.pdb
Ani-s-1,A,Q7Z1K3_Ani s 1.pdb
Car-i-1,A,Q84XA9_Car i 1.pdb
Art-v-1,A,Q84ZX5_Art v 1.pdb
Vit-v-1,A,Q850K5_Vit v 1.pdb
Pru-p-4,A,Q8GT40_Pru p 4.pdb
Pla-a-1,A,Q8GT41_Pla a 1.pdb
Ana-o-2,A,Q8GZP6_Ana o 2.pdb
Ana-o-3,A,Q8H2B8_Ana o 3.pdb
Art-v-4,A,Q8H2C9_Art v 4.pdb
Phl-p-11,A,Q8H6L7_Phl p 11.pdb
Ran-e-2,A,Q8JIU1_Ran e 2.pdb
Pho-d-2,A,Q8L5D8_Pho d 2.pdb
Ana-o-1,A,Q8L5L5_Ana o 1.pdb
Che-a-1,A,Q8LGR0_Che a 1.pdb
Cyp-c-1,A,Q8UUS3_Cyp c 1.pdb
Cor-a-9,A,Q8W1C2_Cor a 9.pdb
Gad-m-1,A,Q90YL0_Gad m 1.pdb
Sal-s-1,A,Q91482_Sal s 1.pdb
Ole-e-9,A,Q94G86_Ole e 9.pdb
Equ-c-1,A,Q95182_Equ c 1.pdb
Cor-a-8,A,Q9ATH2_Cor a 8.pdb
Bet-v-6,A,Q9FUW6_Bet v 6.pdb
Ory-c-3,A,Q9GK67_Ory c 3.pdb
Alt-a-6,A,Q9HDT3_Alt a 6.pdb
Hev-b-8,A,Q9LEI8_Hev b 8.pdb
Pru-av-3,A,Q9M5X8_Pru av 3.pdb
Cha-f-1,A,Q9N2R3_Cha f 1.pdb
Ani-s-3,A,Q9NAS5_Ani s 3.pdb
Bla-g-7,A,Q9NG56_Bla g 7.pdb
Mes-a-1,A,Q9QXU1_Mes a 1.pdb
Cup-a-1,A,Q9SCG9_Cup a 1.pdb
Ara-h-3,A,Q9SQH7_Ara h 3.pdb
Ara-h-5,A,Q9SQI9_Ara h 5.pdb
Cor-a-1,A,Q9SWR4_Cor a 1.pdb
Cav-p-6,A,S0BDX9_Cav p 6.pdb
Phod-s-1,A,S5ZYD3_Phod s 1.pdb
Ory-c-4,A,U6C8D6_Ory c 4.pdb
Can-s-3,A,W0U0V5_Can s 3.pdb
